Hi,Hi.
Let's turn off the TV.,Wacha tuzima TV.
Listen to your father.,Msikilize baba yako.
Listen to your mother.,Msikilize mama yako.
Make yourself at home.,Jifanye nyumbani.
May I go to the river?,Naweza kwenda kwenye mto?
Mom is older than Dad.,Mama ni mzee kuliko baba.
Mom is older than Dad.,Mama ni mzee kuliko baba.
My father loves pizza.,Baba yangu anapenda pizza.
My friend has arrived.,Rafiki yangu amewasili.
No one encouraged her.,Hakuna mtu aliyemtia moyo.
No one knows his name.,Hakuna mtu anajua jina lake.
No one speaks with me.,Hakuna mtu anayezungumza nami.
Nobody understands me.,Hakuna mtu anayenielewa.
People laughed at him.,Watu walimcheka.
Please close the door.,Tafadhali funga mlango.
Please iron the shirt.,Tafadhali chuma shati.
Please keep it secret.,Tafadhali weka siri.
Please leave me alone.,Tafadhali niache peke yangu.
Please repair the car.,Tafadhali rekebisha gari.
Please think about it.,Tafadhali fikiria juu yake.
Please think about it.,Tafadhali fikiria juu yake.
Please throw the ball.,Tafadhali tupa mpira.
Put your weapons down.,Weka silaha zako chini.
Rats carry the plague.,Panya hubeba pigo.
She asked me for help.,Aliniuliza msaada.
She decided to resign.,Aliamua kujiuzulu.
She gave me a present.,Alinipa zawadi.
She is a noted singer.,Yeye ni mwimbaji aliyejulikana.
She is very beautiful.,Yeye ni mrembo sana.
"She loves Tom, not me.","Yeye anapenda Tom, sio mimi."
She refused his offer.,Alikataa ofa yake.
She took her own life.,Alichukua maisha yake mwenyewe.
She took her own life.,Alichukua maisha yake mwenyewe.
She took her own life.,Alichukua maisha yake mwenyewe.
She turned eighty-one.,Aligeuka themanini na moja.
She's eating an apple.,Anakula apple.
She's in the restroom.,Yuko kwenye choo.
She's my older sister.,Yeye ni dada yangu mkubwa.
Shouldn't you go home?,Je! Haupaswi kwenda nyumbani?
Sit wherever you like.,Kaa popote unapopenda.
Spring will come soon.,Spring itakuja hivi karibuni.
Take care of the kids.,Jihadharini na watoto.
Take off your clothes.,Toa nguo zako.
Tell me what happened.,Niambie nini kilitokea.
Tell me what happened.,Niambie nini kilitokea.
That's what I thought.,Hiyo ndio nilifikiria.
That's why I like you.,Ndio sababu nakupenda.
The brake didn't work.,Brake haikufanya kazi.
The cat is on the mat.,Paka yuko kwenye mkeka.
The faucet is leaking.,Bomba linavuja.
The lake is deep here.,Ziwa liko hapa.
The man lost all hope.,Mtu huyo alipoteza tumaini lote.
The pond is very deep.,Bwawa ni kirefu sana.
The rain is wonderful.,Mvua ni nzuri.
The sun is rising now.,Jua linaibuka sasa.
The train has arrived.,Treni imefika.
The war ended in 1954.,Vita viliisha mnamo 1954.
There's nobody inside.,Hakuna mtu ndani.
They are the same age.,Wao ni umri sawa.
They are the same age.,Wao ni umri sawa.
They come from Sweden.,Wanatoka Uswidi.
They hated each other.,Walichukia kila mmoja.
They shared the money.,Walishiriki pesa.
They shouted for help.,Walipiga kelele kwa msaada.
They were not invited.,Hawakualikwa.
They're eating apples.,Wanakula maapulo.
This is enough for me.,Hii inatosha kwangu.
This is not important.,Hii sio muhimu.
This is not important.,Hii sio muhimu.
This is not important.,Hii sio muhimu.
This is what we found.,Hii ndio tulipata.
This tattoo is stupid.,Tattoo hii ni ya kijinga.
Tom can't play tennis.,Tom hawezi kucheza tenisi.
Tom has a poor memory.,Tom ana kumbukumbu duni.
Tom is better than us.,Tom ni bora kuliko sisi.
Tom is coming for you.,Tom anakuja kwa ajili yako.
Tom is very talkative.,Tom anaongea sana.
Tom keeps a black cat.,Tom anaweka paka nyeusi.
Tom knows those rules.,Tom anajua sheria hizo.
Tom said he knew Mary.,Tom alisema alimjua Mariamu.
Tom said he'd be here.,Tom alisema angekuwa hapa.
We all desire success.,Sote tunatamani mafanikio.
We all desire success.,Sote tunatamani mafanikio.
We all desire success.,Sote tunatamani mafanikio.
We all desire success.,Sote tunatamani mafanikio.
We feel good about it.,Tunajisikia vizuri juu yake.
We feel good about it.,Tunajisikia vizuri juu yake.
We helped one another.,Tulisaidiana.
We should go to sleep.,Tunapaswa kwenda kulala.
We stood face to face.,Tulisimama uso kwa uso.
We talked for a while.,Tuliongea kwa muda.
"Well, let's get going!","Kweli, wacha tuende!"
What do you think now?,Je! Unafikiria nini sasa?
What do you want then?,Unataka nini basi?
What else do you want?,Je! Unataka nini kingine?
What else do you want?,Je! Unataka nini kingine?
What is going on here?,Ni nini kinachoendelea hapa?
What's happening here?,Nini kinatokea hapa?
When will they arrive?,Watafika lini?
Where is the bathroom?,Bafuni iko wapi?
Where is the elevator?,Lifti iko wapi?
Where was the mistake?,Makosa yalikuwa wapi?
Who am I talking with?,Ninazungumza na nani?
Who am I talking with?,Ninazungumza na nani?
Who cares about facts?,Nani anayejali ukweli?
Who is standing there?,Nani amesimama hapo?
Whose books are those?,Vitabu ni vya nani?
Whose shoes are these?,Viatu ni nani?
Why did you lie to me?,Kwa nini ulinidanganya?
"Yeah. I think so, too.","Ndio. Nadhani hivyo, pia."
You arrived too early.,Ulifika mapema sana.
You arrived too early.,Ulifika mapema sana.
You cannot be serious.,Huwezi kuwa mzito.
You have to come back.,Lazima urudi.
You must do your duty.,Lazima ufanye jukumu lako.
You must do your duty.,Lazima ufanye jukumu lako.
You must see a doctor.,Lazima uone daktari.
You'd better hurry up.,Afadhali haraka haraka.
Your hair's beautiful.,Nywele zako ni nzuri.
All roads lead to Rome.,Barabara zote zinaongoza Roma.
An old lady sang to me.,Mwanamke mzee aliimba kwangu.
Are you older than Tom?,Je! Wewe ni mzee kuliko Tom?
Are you ready for that?,Uko tayari kwa hilo?
Are you related to him?,Je! Una uhusiano naye?
Atlantis was destroyed.,Atlantis iliharibiwa.
Babies often fall down.,Watoto mara nyingi huanguka chini.
Better late than never.,Marehemu bora kuliko hapo awali.
Can I take a break now?,Je! Ninaweza kupumzika sasa?
Cats dislike being wet.,Paka hawapendi kuwa mvua.
"Close the door, please.","Funga mlango, tafadhali."
Come on. You can do it.,Njoo. Unaweza kuifanya.
Come on. You can do it.,Njoo. Unaweza kuifanya.
Did you taste the rice?,Je! Ulionja mchele?
Did you think about it?,Je! Ulifikiria juu yake?
Do those insects sting?,Je! Wadudu hao wanauma?
Do you have an address?,Je! Una anwani?
Do you know the answer?,Je! Unajua jibu?
Do you know the answer?,Je! Unajua jibu?
Do you know the reason?,Je! Unajua sababu?
Do you see the raccoon?,Je! Unaona raccoon?
Do you speak Esperanto?,Je! Unazungumza Esperanto?
Do you want to be rich?,Je! Unataka kuwa tajiri?
Does Tom like tomatoes?,Je! Tom anapenda nyanya?
Don't ask me for money.,Usiniulize pesa.
Don't say such a thing.,Usiseme kitu kama hicho.
Don't say such a thing.,Usiseme kitu kama hicho.
Don't tell anyone this.,Usimwambie mtu yeyote hii.
"Finally, I found a job.","Mwishowe, nilipata kazi."
"For me, it's important.","Kwangu, ni muhimu."
"For me, it's important.","Kwangu, ni muhimu."
"For me, it's important.","Kwangu, ni muhimu."
Foxes are wild animals.,Mbweha ni wanyama wa porini.
"Get me a chair, please.","Nipatie kiti, tafadhali."
Give me another chance.,Nipe nafasi nyingine.
"Give me some milk, too.",Nipe maziwa pia.
Have you spoken to Tom?,Umezungumza na Tom?
He attempted to escape.,Alijaribu kutoroka.
He exploded with anger.,Alilipuka kwa hasira.
He exploded with anger.,Alilipuka kwa hasira.
He instigated the riot.,Alichochea ghasia.
He just missed the bus.,Alikosa tu basi.
He was dressed in blue.,Alikuwa amevaa bluu.
"He won't come, will he?","Yeye hatakuja, je!"
He's at home right now.,Yuko nyumbani sasa hivi.
Hope is not a strategy.,Matumaini sio mkakati.
Hope is not a strategy.,Matumaini sio mkakati.
How long is the bridge?,Daraja ni la muda gani?
How much is this clock?,Saa hii ni kiasi gani?
How much is this watch?,Je! Saa hii ni kiasi gani?
How old is your father?,Baba yako ana umri gani?
I am to go there today.,Nitaenda huko leo.
I believe Tom is right.,Naamini Tom yuko sawa.
I can do it all myself.,Naweza kuifanya yote mwenyewe.
I didn't have a choice.,Sikuwa na chaguo.
I don't have any money.,Sina pesa yoyote.
I don't know this game.,Sijui mchezo huu.
I got on the wrong bus.,Niliingia kwenye basi lisilofaa.
I got on the wrong bus.,Niliingia kwenye basi lisilofaa.
I have a dog and a cat.,Nina mbwa na paka.
I have a lot of dreams.,Nina ndoto nyingi.
I have visited America.,Nimetembelea Amerika.
I knew he would accept.,Nilijua angekubali.
I know you like coffee.,Najua unapenda kahawa.
I like pizza very much.,Napenda pizza sana.
I lost my trust in him.,Nilipoteza imani yangu kwake.
I lost my trust in him.,Nilipoteza imani yangu kwake.
I love American movies.,Ninapenda sinema za Amerika.
I love that commercial.,Ninapenda biashara hiyo.
I need you to trust me.,Nahitaji uniamini.
I paid for the tickets.,Nililipa tikiti.
I prefer mineral water.,Napendelea maji ya madini.
I really like this car.,Napenda sana gari hili.
I slept only two hours.,Nililala masaa mawili tu.
I studied for one hour.,Nilisoma kwa saa moja.
I studied for one hour.,Nilisoma kwa saa moja.
I think that'll happen.,Nadhani hiyo itatokea.
I thought Tom was dead.,Nilidhani Tom alikuwa amekufa.
I thought she was cute.,Nilidhani alikuwa mzuri.
I want something sweet.,Nataka kitu tamu.
I want to be a teacher.,Nataka kuwa mwalimu.
I want to ride a horse.,Nataka kupanda farasi.
I was robbed of my bag.,Niliibiwa begi langu.
I was watching TV then.,Nilikuwa nikitazama TV wakati huo.
I went there yesterday.,Nilikwenda huko jana.
I will gladly help you.,Nitakusaidia kwa furaha.
I would like to see it.,Ningependa kuiona.
I would like to see it.,Ningependa kuiona.
I'd rather go swimming.,Ningependa kwenda kuogelea.
I'd rather go swimming.,Ningependa kwenda kuogelea.
I'll be waiting inside.,Nitasubiri ndani.
I'll have to work hard.,Itabidi nifanye kazi kwa bidii.
I'll meet him tomorrow.,Nitakutana naye kesho.
I'll miss your cooking.,Nitakosa kupika kwako.
I'll never do it again.,Sitafanya tena.
I'm doing this for you.,Ninakufanyia hivi.
I'm not letting Tom go.,Simruhusu Tom aende.
I'm not your boyfriend.,Mimi sio mpenzi wako.
I'm really embarrassed.,Nina aibu kweli.
I'm really embarrassed.,Nina aibu kweli.
I'm thinking about you.,Ninafikiria juu yako.
I've got a better idea.,Nina wazo bora.
I've looked everywhere.,Nimeangalia kila mahali.
Is anyone absent today?,Je! Kuna mtu yeyote hayupo leo?
Is it a recent picture?,Je! Ni picha ya hivi karibuni?
Is it a recent picture?,Je! Ni picha ya hivi karibuni?
It doesn't surprise me.,Haishangazi.
It is raining hard now.,Inanyesha sana sasa.
It was a very big room.,Ilikuwa chumba kubwa sana.
It was your own choice.,Ilikuwa chaguo lako mwenyewe.
It's fairly warm today.,Ni joto sawa leo.
It's just what we need.,Ni kile tu tunachohitaji.
Just follow your heart.,Fuata tu moyo wako.
Just follow your heart.,Fuata tu moyo wako.
Let's not jump the gun.,Wacha tusiruke bunduki.
Let's speak in English.,Wacha tuzungumze kwa Kiingereza.
Listen to me carefully.,Nisikilize kwa uangalifu.
Maryam is well behaved.,Maryam ana tabia nzuri.
May I borrow this book?,Naweza kukopa kitabu hiki?
My brother likes music.,Ndugu yangu anapenda muziki.
My conscience is clear.,Dhamiri yangu iko wazi.
My father is a teacher.,Baba yangu ni mwalimu.
My hair is light brown.,Nywele zangu ni kahawia nyepesi.
My mother is on a diet.,Mama yangu yuko kwenye lishe.
My orders are absolute.,Amri zangu ni kamili.
My son came to my room.,Mwanangu alifika chumbani kwangu.
My son came to my room.,Mwanangu alifika chumbani kwangu.
New York is a big city.,New York ni mji mkubwa.
Nobody can surpass him.,Hakuna mtu anayeweza kumzidi.
One must do one's best.,Mtu lazima afanye bora ya mtu.
One must do one's best.,Mtu lazima afanye bora ya mtu.
Our school burned down.,Shule yetu ilichoma moto.
Pick your favorite bat.,Chagua popo yako unayopenda.
Save me some ice cream.,Niokoe ice cream.
She can play the piano.,Anaweza kucheza piano.
She can speak Japanese.,Anaweza kuzungumza Kijapani.
She doesn't like sushi.,Yeye hapendi Sushi.
She is in the bathroom.,Yuko bafuni.
She trembled with fear.,Alitetemeka kwa hofu.
She was dressed in red.,Alikuwa amevaa nyekundu.
She works in marketing.,Yeye hufanya kazi katika uuzaji.
She's correct for sure.,Yeye ni sahihi kwa hakika.
Smoking is a bad habit.,Uvutaji sigara ni tabia mbaya.
Someone is calling you.,Mtu anakuita.
Someone is calling you.,Mtu anakuita.
Sometimes you scare me.,Wakati mwingine unaniogopa.
Sometimes you scare me.,Wakati mwingine unaniogopa.
Squirrels move quickly.,Squirrels hoja haraka.
That black one is mine.,Huyo mweusi ni wangu.
That's a good question.,Hilo ni swali zuri.
That's what people say.,Ndivyo watu wanasema.
That's what women want.,Hiyo ndio wanawake wanataka.
The game was suspended.,Mchezo ulisitishwa.
The girl looked around.,Msichana aliangalia pande zote.
The girl looked around.,Msichana aliangalia pande zote.
The house was deserted.,Nyumba iliachwa.
The knife is not sharp.,Kisu sio mkali.
The rear gate was open.,Lango la nyuma lilikuwa wazi.
They agreed on a price.,Walikubaliana kwa bei.
They agreed on a price.,Walikubaliana kwa bei.
They agreed on a price.,Walikubaliana kwa bei.
This apple is very red.,Apple hii ni nyekundu sana.
This apple is very red.,Apple hii ni nyekundu sana.
This apple tastes sour.,Apple hii ina ladha tamu.
This is extremely hard.,Hii ni ngumu sana.
This rose is beautiful.,Rose hii ni nzuri.
Those books are theirs.,Vitabu hivyo ni zao.
Today is your birthday.,Leo ni siku yako ya kuzaliwa.
Tom became a policeman.,Tom alikua polisi.
Tom collects old coins.,Tom hukusanya sarafu za zamani.
Tom had a bad headache.,Tom alikuwa na maumivu ya kichwa mbaya.
Tom is a good listener.,Tom ni msikilizaji mzuri.
Tom is a very nice guy.,Tom ni mtu mzuri sana.
Tom is angry with Mary.,Tom anamkasirikia Mariamu.
Tom is tall and strong.,Tom ni mrefu na hodari.
Tom isn't going to win.,Tom hatashinda.
Tom liked working here.,Tom alipenda kufanya kazi hapa.
Tom must be having fun.,Tom lazima afurahie.
Tom told us what to do.,Tom alituambia nini cha kufanya.
Tom wanted you to know.,Tom alitaka ujue.
We can open the window.,Tunaweza kufungua dirisha.
We have run out of gas.,Tumemaliza gesi.
We have to get results.,Lazima tupate matokeo.
"Well, it's obvious now.","Kweli, ni dhahiri sasa."
What are you afraid of?,Unaogopa nini?
What choice did I have?,Nilikuwa na chaguo gani?
What do you want to be?,Je! Unataka kuwa nini?
What does your aunt do?,Shangazi yako hufanya nini?
What does your aunt do?,Shangazi yako hufanya nini?
What good will that do?,Je! Hiyo itafanya nini?
What's your occupation?,Kazi yako ni nini?
Where did you get this?,Ulipata wapi hii?
Where did you meet Tom?,Ulikutana wapi Tom?
Which way is the beach?,Pwani ni njia gani?
Who are these two boys?,Wavulana hawa wawili ni akina nani?
Who teaches you French?,Nani anakufundisha Kifaransa?
Why are you doing this?,Kwa nini unafanya hivi?
Why are you doing this?,Kwa nini unafanya hivi?
Why not see the doctor?,Kwa nini usione daktari?
Words express thoughts.,Maneno yanaelezea mawazo.
Would you like to come?,Je! Ungependa kuja?
Would you play with me?,Je! Ungecheza nami?
Would you play with me?,Je! Ungecheza nami?
You are a good student.,Wewe ni mwanafunzi mzuri.
You are a good student.,Wewe ni mwanafunzi mzuri.
You are better than me.,Wewe ni bora kuliko mimi.
You are my best friend.,Wewe ni rafiki yangu mkubwa.
You are not our friend.,Wewe sio rafiki yetu.
You can use it anytime.,Unaweza kuitumia wakati wowote.
You have a good memory.,Una kumbukumbu nzuri.
You have a point there.,Una uhakika hapo.
You have to forgive me.,Lazima unisamehe.
You have to forgive me.,Lazima unisamehe.
You might have told me.,Labda umeniambia.
You might have told me.,Labda umeniambia.
You ought to thank him.,Unapaswa kumshukuru.
You should stay in bed.,Unapaswa kukaa kitandani.
You sound like my wife.,Unasikika kama mke wangu.
You will soon get well.,Hivi karibuni utapona.
You'd better go by bus.,Afadhali uende kwa basi.
You'd better go to bed.,Afadhali uende kulala.
You'd better start now.,Afadhali uanze sasa.
You're not fast enough.,Hautoshi vya kutosha.
You're not fast enough.,Hautoshi vya kutosha.
You're very perceptive.,Unajua sana.
Your cake is delicious.,Keki yako ni ya kupendeza.
Your plan sounds great.,Mpango wako unasikika.
A bear can climb a tree.,Dubu inaweza kupanda mti.
A lot of people do that.,Watu wengi hufanya hivyo.
All our attempts failed.,Majaribio yetu yote yalishindwa.
Are those your pictures?,Je! Hizo ni picha zako?
Aren't you Tom's mother?,Sio mama wa Tom?
Beauty is but skin deep.,Uzuri ni lakini ngozi ya kina.
Can I borrow your radio?,Je! Ninaweza kukopa redio yako?
Can I wait for Tom here?,Je! Ninaweza kungojea Tom hapa?
Can you eat raw oysters?,Je! Unaweza kula oysters mbichi?
Can't you speak English?,Je! Huwezi kuzungumza Kiingereza?
Can't you speak English?,Je! Huwezi kuzungumza Kiingereza?
China is a huge country.,Uchina ni nchi kubwa.
China is a huge country.,Uchina ni nchi kubwa.
Could you do me a favor?,Je! Unaweza kunifanyia neema?
Did you break something?,Ulivunja kitu?
Did you break something?,Ulivunja kitu?
Did you catch the train?,Je! Ulipata gari moshi?
Did you come here alone?,Ulikuja hapa peke yako?
Do you have any pencils?,Je! Una penseli zozote?
Do you think he is dead?,Je! Unafikiri amekufa?
Do you want fruit juice?,Je! Unataka juisi ya matunda?
Does he have many books?,Ana vitabu vingi?
Doesn't that bother you?,Je! Hiyo haisumbui?
Don't avoid my question.,Usiepuke swali langu.
Don't forget the ticket.,Usisahau tikiti.
Don't forget the ticket.,Usisahau tikiti.
Don't give me any ideas.,Usinipe maoni yoyote.
Don't read in that room.,Usisome katika chumba hicho.
Don't read in this room.,Usisome katika chumba hiki.
Don't speak in Japanese.,Usizungumze kwa Kijapani.
Everybody laughed at me.,Kila mtu alinicheka.
Everyone laughed at him.,Kila mtu alicheka kwake.
Everyone laughed at him.,Kila mtu alicheka kwake.
Have you been to London?,Umewahi kwenda London?
He asked us to help him.,Alituuliza tumsaidie.
He asked us to help him.,Alituuliza tumsaidie.
He can read pretty well.,Anaweza kusoma vizuri.
He caught a large trout.,Alipata trout kubwa.
He decided to go abroad.,Aliamua kwenda nje ya nchi.
He declined my proposal.,Alikataa pendekezo langu.
He doesn't need to work.,Haitaji kufanya kazi.
He drowned in the river.,Akazama kwenye mto.
He likes anything sweet.,Yeye anapenda kitu chochote tamu.
He sometimes watches TV.,Wakati mwingine yeye hutazama TV.
He was blind from birth.,Alikuwa kipofu tangu kuzaliwa.
He witnessed the murder.,Alishuhudia mauaji hayo.
He's my younger brother.,Yeye ni kaka yangu mdogo.
How far is it from here?,Je! Ni mbali gani hapa?
How's the project going?,Mradi unaendeleaje?
I always walk to school.,Mimi daima hutembea kwenda shule.
I am pleased to see you.,Nimefurahi kukuona.
I am pleased to see you.,Nimefurahi kukuona.
I bought this yesterday.,Nilinunua hii jana.
I can't believe my eyes.,Siwezi kuamini macho yangu.
I come to school by bus.,Ninakuja shuleni kwa basi.
I do not have any money.,Sina pesa yoyote.
I don't have a solution.,Sina suluhisho.
I don't know what to do.,Sijui cha kufanya.
I don't know what to do.,Sijui cha kufanya.
"I don't like it, either.","Sipendi, pia."
"I don't like it, either.","Sipendi, pia."
I don't mind either way.,Sijali kwa njia yoyote ile.
I don't want it anymore.,Sitaki tena.
I guess we can't say no.,Nadhani hatuwezi kusema hapana.
I had breakfast at 7:30.,Nilikuwa na kiamsha kinywa saa 7:30.
I have an exam tomorrow.,Nina mtihani kesho.
I have little money now.,Nina pesa kidogo sasa.
I have no books to read.,Sina vitabu vya kusoma.
I have the ace of clubs.,Nina Ace ya vilabu.
I have to take medicine.,Lazima nichukue dawa.
I haven't yet graduated.,Bado sijamaliza.
I just want to have fun.,Nataka tu kufurahiya.
I know that he was busy.,Najua kuwa alikuwa busy.
I like tennis very much.,Napenda tenisi sana.
I make an honest living.,Ninafanya maisha ya uaminifu.
I met her on the street.,Nilikutana naye barabarani.
I need to get a haircut.,Ninahitaji kupata kukata nywele.
I need to rest a moment.,Ninahitaji kupumzika kwa muda.
I passed by four houses.,Nilipita karibu na nyumba nne.
I play tennis every day.,Mimi hucheza tenisi kila siku.
I prefer not to comment.,Napendelea kutotoa maoni.
I really can't help you.,Kwa kweli siwezi kukusaidia.
I reckon that I'm right.,Nadhani kuwa niko sawa.
I suppose you're hungry.,Nadhani una njaa.
I suppose you're hungry.,Nadhani una njaa.
I think you're mistaken.,Nadhani umekosea.
I understand everything.,Ninaelewa kila kitu.
I used to love swimming.,Nilikuwa napenda kuogelea.
I want to learn to swim.,Nataka kujifunza kuogelea.
I was laughed at by him.,Nilicheka naye.
I wasn't busy yesterday.,Sikuwa busy jana.
I went there many times.,Nilikwenda huko mara nyingi.
I went to Osaka station.,Nilikwenda kituo cha Osaka.
I wonder if he loves me.,Nashangaa kama ananipenda.
I'd prefer meat to fish.,Ningependa nyama kwa samaki.
I'll be back in an hour.,Nitarudi saa moja.
I'll explain this later.,Nitaelezea hii baadaye.
I'll stay home tomorrow.,Nitakaa nyumbani kesho.
"I'll take that one, too.","Nitachukua hiyo, pia."
I'll take this umbrella.,Nitachukua mwavuli huu.
I'm not your girlfriend.,Mimi sio rafiki yako wa kike.
I'm nothing without you.,Mimi si kitu bila wewe.
I'm old enough to drink.,Mimi ni mzee wa kutosha kunywa.
I'm old enough to drive.,Mimi ni mzee wa kutosha kuendesha.
I'm ready for next week.,Niko tayari kwa wiki ijayo.
I'm sure of his success.,Nina hakika ya mafanikio yake.
I've always trusted Tom.,Nimewahi kumwamini Tom.
Is that a picture of me?,Je! Hiyo ni picha yangu?
Is that milk still good?,Je! Maziwa hayo bado ni mazuri?
It is their only choice.,Ni chaguo lao pekee.
It is their only choice.,Ni chaguo lao pekee.
It may freeze next week.,Inaweza kufungia wiki ijayo.
It was a computer error.,Ilikuwa kosa la kompyuta.
It's part of the system.,Ni sehemu ya mfumo.
It's the end of a world.,Ni mwisho wa ulimwengu.
It's the right decision.,Ni uamuzi sahihi.
Japan is close to China.,Japan iko karibu na Uchina.
Japan is close to China.,Japan iko karibu na Uchina.
Jump as high as you can.,Rukia juu kadri uwezavyo.
Let's go somewhere else.,Wacha tuende mahali pengine.
Mary is Tom's secretary.,Mariamu ni katibu wa Tom.
May I borrow your knife?,Naweza kukopa kisu chako?
May I see your passport?,Naweza kuona pasipoti yako?
May I stay here tonight?,Naweza kukaa hapa usiku wa leo?
Money is not everything.,Pesa sio kila kitu.
My brother plays guitar.,Ndugu yangu anacheza gitaa.
My front tooth fell out.,Jino langu la mbele lilianguka.
Nobody cares about that.,Hakuna mtu anayejali hilo.
Please insert your card.,Tafadhali ingiza kadi yako.
Please keep this secret.,Tafadhali weka siri hii.
Please park in the back.,Tafadhali Hifadhi nyuma.
Run as fast as possible.,Run haraka iwezekanavyo.
She chose the red dress.,Alichagua mavazi nyekundu.
She is very intelligent.,Yeye ni mwenye akili sana.
She is very intelligent.,Yeye ni mwenye akili sana.
She waited for my reply.,Alisubiri jibu langu.
She was about to go out.,Alikuwa karibu kwenda nje.
She was about to go out.,Alikuwa karibu kwenda nje.
She was about to go out.,Alikuwa karibu kwenda nje.
She'll love him forever.,Atampenda milele.
She's lost her car keys.,Amepoteza funguo zake za gari.
"She's not young, is she?","Yeye sio mchanga, sivyo?"
Show me another example.,Nionyeshe mfano mwingine.
"Shut the door, will you?","Zima mlango, je!"
Someone is watching you.,Mtu anakuangalia.
Someone is watching you.,Mtu anakuangalia.
Someone stole my wallet.,Mtu aliiba mkoba wangu.
Take a look at this map.,Angalia ramani hii.
That boy has black hair.,Mvulana huyo ana nywele nyeusi.
That factory makes toys.,Kiwanda hicho hufanya vitu vya kuchezea.
The box is almost empty.,Sanduku ni karibu tupu.
The castle is beautiful.,Ngome ni nzuri.
The castle is beautiful.,Ngome ni nzuri.
The castle is beautiful.,Ngome ni nzuri.
The front door was open.,Mlango wa mbele ulikuwa wazi.
The game isn't over yet.,Mchezo haujaisha bado.
The grass needs cutting.,Nyasi inahitaji kukata.
The grass needs cutting.,Nyasi inahitaji kukata.
The landing was perfect.,Kutua kulikuwa kamili.
The police are after me.,Polisi ni baada yangu.
The radio will not work.,Redio haitafanya kazi.
There is a page missing.,Kuna ukurasa haupo.
There's nowhere to hide.,Hakuna mahali pa kujificha.
They reached their goal.,Walifikia lengo lao.
They require extra help.,Zinahitaji msaada wa ziada.
Think about your future.,Fikiria juu ya maisha yako ya baadaye.
This doesn't concern me.,Hii hainijali.
This is a good question.,Hili ni swali zuri.
This is a good textbook.,Hii ni kitabu kizuri.
This story is about Tom.,Hadithi hii ni juu ya Tom.
Those flowers have died.,Maua hayo yamekufa.
Tom almost convinced me.,Tom karibu alinishawishi.
Tom arrived around 2:30.,Tom alifika karibu 2:30.
Tom did something wrong.,Tom alifanya kitu kibaya.
Tom hid under the table.,Tom alijificha chini ya meza.
Tom is a French teacher.,Tom ni mwalimu wa Ufaransa.
Tom is a friend of mine.,Tom ni rafiki yangu.
Tom is clearly worn out.,Tom amechoka wazi.
Tom is young and single.,Tom ni mchanga na hajaoa.
Tom isn't Mary's friend.,Tom sio rafiki wa Mariamu.
Tom isn't a kid anymore.,Tom sio mtoto tena.
Tom isn't at all stupid.,Tom sio mjinga kabisa.
Tom knew I wasn't happy.,Tom alijua sikuwa na furaha.
Tom liked to play chess.,Tom alipenda kucheza chess.
Tom might not like that.,Tom labda asipende hiyo.
Tom needs a good lawyer.,Tom anahitaji wakili mzuri.
Tom said he saw nothing.,Tom alisema hakuona chochote.
Tom thinks the same way.,Tom anafikiria vivyo hivyo.
Tom was shot and killed.,Tom alipigwa risasi na kuuawa.
Tom's a bit freaked out.,Tom ametoka nje.
"Tom, what are you doing?","Tom, unafanya nini?"
We appreciate your help.,Tunashukuru msaada wako.
We aren't going to lose.,Hatutapoteza.
We can rest after lunch.,Tunaweza kupumzika baada ya chakula cha mchana.
We elected him chairman.,Tulimchagua Mwenyekiti.
We still have more time.,Bado tunayo wakati zaidi.
We're going to miss Tom.,Tutamkosa Tom.
What a beautiful design!,Ubunifu mzuri sana!
"What are you doing, Dad?","Unafanya nini, baba?"
What are you staring at?,Je! Unatazama nini?
What did you talk about?,Uliongea nini?
What did you talk about?,Uliongea nini?
What do you like to eat?,Je! Unapenda kula nini?
What do you want to eat?,Unataka kula nini?
What does he see in her?,Anaona nini ndani yake?
What happened last week?,Nini kilitokea wiki iliyopita?
What made you come here?,Ni nini kilikufanya uje hapa?
What made you come here?,Ni nini kilikufanya uje hapa?
What time do you get up?,Unaamka saa ngapi?
"What time is it, anyway?","Ni saa ngapi, anyway?"
What year were you born?,Ulizaliwa mwaka gani?
When does the bank open?,Benki inafunguliwa lini?
When will you come home?,Utarudi nyumbani lini?
When will you come home?,Utarudi nyumbani lini?
Where did she buy books?,Alinunua wapi vitabu?
Where is the toothpaste?,Dawa ya meno iko wapi?
Where's the dining room?,Chumba cha kulia kiko wapi?
Who are you waiting for?,Unasubiri nani?
Why did it take so long?,Kwa nini ilichukua muda mrefu?
Why did you go to Tokyo?,Kwa nini ulienda Tokyo?
Write your address here.,Andika anwani yako hapa.
Write your address here.,Andika anwani yako hapa.
Write your name in full.,Andika jina lako kamili.
You are a tennis player.,Wewe ni mchezaji wa tenisi.
You are as tall as I am.,Wewe ni mrefu kama mimi.
You are in a safe place.,Uko mahali salama.
"You can swim, can't you?","Unaweza kuogelea, huwezi?"
"You can't swim, can you?","Hauwezi kuogelea, unaweza?"
"You can't swim, can you?","Hauwezi kuogelea, unaweza?"
You don't have to study.,Sio lazima kusoma.
You don't know who I am.,Hujui mimi ni nani.
You left your lights on.,Uliacha taa zako.
You must be more polite.,Lazima uwe na heshima zaidi.
You must do it yourself.,Lazima ufanye mwenyewe.
You must face the facts.,Lazima uso uso.
You must pay in advance.,Lazima ulipe mapema.
